††Gelnica;Gelnica
††Helcmanovce;Gelnica
††Henclov·;Gelnica
††Hriöovce;Gelnica
††Jaklovce;Gelnica
††Kluknava;Gelnica
††Kojöov;Gelnica
††Margecany;Gelnica
††MnÌöek nad Hnilcom;Gelnica
††N·lepkovo;Gelnica
††Prakovce;Gelnica
††Richnava;Gelnica
††SmolnÌcka Huta;Gelnica
††SmolnÌk;Gelnica
††Star· Voda;Gelnica
††ävedl·r;Gelnica
††⁄horn·;Gelnica
††Veæk˝ Folkmar;Gelnica
††Z·vadka;Gelnica
††éakarovce;Gelnica
††Koöice;Koöice
††BaËkovÌk;Koöice - okolie
††Baöka;Koöice - okolie
††Belûa;Koöice - okolie
††Beniakovce;Koöice - okolie
††Bidovce;Koöice - okolie
††Blaûice;Koöice - okolie
††BoËiar;Koöice - okolie
††Bohdanovce;Koöice - okolie
††Boliarov;Koöice - okolie
††BudimÌr;Koöice - okolie
††Bukovec;Koöice - okolie
††Bunetice;Koöice - okolie
††Buzica;Koöice - okolie
††Cestice;Koöice - okolie
††»akanovce;Koöice - okolie
††»aÚa;Koöice - okolie
††»eËejovce;Koöice - okolie
††»iûatice;Koöice - okolie
††DebraÔ;Koöice - okolie
††Drienovec;Koöice - okolie
††Druûstevn· pri Horn·de;Koöice - okolie
††œurÔoöÌk;Koöice - okolie
††œurkov;Koöice - okolie
††DvornÌky-VËel·re;Koöice - okolie
††GeËa;Koöice - okolie
††GyÚov;Koöice - okolie
††HaËava;Koöice - okolie
††H·j;Koöice - okolie
††Haniska;Koöice - okolie
††Heræany;Koöice - okolie
††Hodkovce;Koöice - okolie
††Hosùovce;Koöice - okolie
††HraöovÌk;Koöice - okolie
††H˝æov;Koöice - okolie
††Chorv·ty;Koöice - okolie
††ChrastnÈ;Koöice - okolie
††JanÌk;Koöice - okolie
††Jasov;Koöice - okolie
††Kalöa;Koöice - okolie
††Kecerovce;Koöice - okolie
††Kecerovsk˝ Lipovec;Koöice - okolie
††Kechnec;Koöice - okolie
††Koköov-Baköa;Koöice - okolie
††Kom·rovce;Koöice - okolie
††Kostoæany nad Horn·dom;Koöice - okolie
††Koöick· Bel·;Koöice - okolie
††Koöick· Polianka;Koöice - okolie
††KoöickÈ Oæöany;Koöice - okolie
††Koöick˝ KleËenov;Koöice - okolie
††Kr·æovce;Koöice - okolie
††Kysak;Koöice - okolie
††Mal· Ida;Koöice - okolie
††Mal· Lodina;Koöice - okolie
††Medzev;Koöice - okolie
††Milhosù;Koöice - okolie
††Mokrance;Koöice - okolie
††Moldava nad Bodvou;Koöice - okolie
††Mudrovce;Koöice - okolie
††Niûn· Hutka;Koöice - okolie
††Niûn· Kamenica;Koöice - okolie
††Niûn· Myöæa;Koöice - okolie
††Niûn˝ »aj;Koöice - okolie
††Niûn˝ Kl·tov;Koöice - okolie
††Niûn˝ L·nec;Koöice - okolie
††Nov· Polhora;Koöice - okolie
††Nov·Ëany;Koöice - okolie
††Nov˝ Salaö;Koöice - okolie
††Obiöovce;Koöice - okolie
††Olöovany;Koöice - okolie
††Op·tka;Koöice - okolie
††Opin·;Koöice - okolie
††PaÚovce;Koöice - okolie
††Peder;Koöice - okolie
††PerÌn-Chym;Koöice - okolie
††PloskÈ;Koöice - okolie
††PoproË;Koöice - okolie
††R·koö;Koöice - okolie
††Rankovce;Koöice - okolie
††Reöica;Koöice - okolie
††Rozhanovce;Koöice - okolie
††RudnÌk;Koöice - okolie
