  Badín;Banská Bystrica
  Baláe;Banská Bystrica
  Banská Bystrica;Banská Bystrica
  Brusno;Banská Bystrica
  Èerín;Banská Bystrica
  Dolná Mièiná;Banská Bystrica
  Dolnı Harmanec;Banská Bystrica
  Donovaly;Banská Bystrica
  Dúbravica;Banská Bystrica
  Harmanec;Banská Bystrica
  Hiade¾;Banská Bystrica
  Horná Mièiná;Banská Bystrica
  Horné Pršany;Banská Bystrica
  Hrocho;Banská Bystrica
  Hronsek;Banská Bystrica
  Kordíky;Banská Bystrica
  Králiky;Banská Bystrica
  Kynce¾ová;Banská Bystrica
  ¼ubietová;Banská Bystrica
  Luèatín;Banská Bystrica
  Malachov;Banská Bystrica
  Medzibrod;Banská Bystrica
  Moštenica;Banská Bystrica
  Motyèky;Banská Bystrica
  Môlèa;Banská Bystrica
  Nemce;Banská Bystrica
  Oravce;Banská Bystrica
  Podkonice;Banská Bystrica
  Pohronskı Bukovec;Banská Bystrica
  Poniky;Banská Bystrica
  Povrazník;Banská Bystrica
  Priechod;Banská Bystrica
  Rieèka;Banská Bystrica
  Sebedín-Beèov;Banská Bystrica
  Selce;Banská Bystrica
  Slovenská ¼upèa;Banská Bystrica
  Staré Hory;Banská Bystrica
  Strelníky;Banská Bystrica
  Špania Dolina;Banská Bystrica
  Tajov;Banská Bystrica
  Turecká;Banská Bystrica
  Vlkanová;Banská Bystrica
  Baïan;Banská Štiavnica
  Banská Belá;Banská Štiavnica
  Banská Štiavnica;Banská Štiavnica
  Banskı Studenec;Banská Štiavnica
  Beluj;Banská Štiavnica
  Dekıš;Banská Štiavnica
  Ilija;Banská Štiavnica
  Kozelník;Banská Štiavnica
  Moèiar;Banská Štiavnica
  Poèúvadlo;Banská Štiavnica
  Podhorie;Banská Štiavnica
  Prenèov;Banská Štiavnica
  Svätı Anton;Banská Štiavnica
  Štiavnické Bane;Banská Štiavnica
  Vysoká;Banská Štiavnica
  Bacúch;Brezno
  Beòuš;Brezno
  Braväcovo;Brezno
  Brezno;Brezno
  Bystrá;Brezno
  Èierny Balog;Brezno
  Dolná Lehota;Brezno
  Drábsko;Brezno
  He¾pa;Brezno
  Horná Lehota;Brezno
  Hronec;Brezno
  Jarabá;Brezno
  Jasenie;Brezno
  Lom nad Rimavicou;Brezno
  Michalová;Brezno
  Mıto pod Ïumbierom;Brezno
  Nemecká;Brezno
  Osrblie;Brezno
  Podbrezová;Brezno
